ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_kg,Arrived_on_Time,Weight_Category
1240,B,Flight,4,5,157,3,medium,M,28,1.6,1,Light
1241,C,Flight,4,5,210,4,medium,F,28,3.9,1,Medium
1242,F,Flight,4,5,227,4,low,F,20,2.2,1,Medium
1243,D,Flight,4,1,250,2,medium,M,45,3,1,Medium
1244,F,Flight,6,3,171,5,high,M,61,1.9,1,Light
1245,A,Flight,4,2,136,2,medium,F,17,1.3,1,Light
1246,B,Flight,4,3,258,3,medium,M,58,2.6,1,Medium
1247,C,Flight,6,2,271,5,low,M,14,2.5,1,Medium
1248,F,Flight,4,4,197,3,low,F,29,2.9,1,Medium
1249,D,Flight,5,2,217,3,low,M,27,3,1,Medium
1250,F,Flight,4,1,247,3,low,F,9,2.4,1,Medium
1251,A,Ship,4,4,192,4,medium,F,46,3.6,1,Medium
1252,B,Ship,3,1,254,3,medium,M,6,3.5,1,Medium
1253,C,Ship,5,5,226,3,medium,F,65,3.8,1,Medium
1254,F,Ship,5,3,197,2,low,F,48,2.5,1,Medium
1255,D,Ship,3,1,203,4,medium,M,12,2.8,1,Medium
1256,F,Ship,4,5,196,3,medium,M,16,3.7,1,Medium
1257,A,Ship,2,2,180,3,low,M,33,1.2,1,Light
1258,B,Ship,3,5,219,3,low,F,54,3.1,1,Medium
1259,C,Ship,4,4,266,2,low,F,15,3.4,1,Medium
1260,F,Ship,5,1,144,2,low,F,20,1.1,1,Light
1261,D,Ship,5,3,197,2,low,F,12,3.4,1,Medium
1262,F,Ship,4,1,258,3,medium,F,4,3.7,1,Medium
1263,A,Ship,3,3,187,3,low,F,63,2.5,1,Medium
1264,B,Ship,5,4,184,3,low,M,9,3.3,1,Medium
1265,C,Ship,4,3,142,2,medium,F,63,1.6,1,Light
1266,F,Ship,3,5,283,5,low,F,50,2.8,1,Medium
1267,D,Ship,4,2,221,2,low,F,13,3.1,1,Medium
1268,F,Ship,3,2,233,5,low,M,44,2,1,Medium
1269,A,Ship,6,4,129,5,low,F,58,1.5,1,Light
1270,B,Ship,3,4,154,2,medium,F,43,1.5,1,Light
1271,C,Ship,4,4,158,3,medium,M,63,1.4,1,Light
1272,F,Ship,5,3,236,6,medium,M,9,3.7,1,Medium
1273,D,Ship,3,5,257,3,low,F,52,2.2,1,Medium
1274,F,Ship,4,5,160,3,medium,M,50,1.5,1,Light
1275,A,Ship,4,2,255,4,low,F,62,3.2,1,Medium
1276,B,Ship,4,3,210,2,medium,M,22,3.1,1,Medium
1277,C,Ship,5,3,169,4,medium,F,37,1.3,1,Light
1278,F,Ship,3,1,275,2,high,F,1,2.6,1,Medium
1279,D,Ship,3,2,185,3,medium,M,47,2.5,1,Medium
1280,F,Ship,3,2,213,2,medium,F,54,2.8,1,Medium
1281,A,Ship,3,4,179,3,high,M,57,1.6,1,Light
1282,B,Ship,3,3,110,3,low,M,7,1.2,1,Light
1283,C,Ship,3,4,216,3,low,F,41,2,1,Medium
1284,F,Ship,4,1,267,3,medium,M,37,2.7,1,Medium
1285,D,Ship,5,4,214,2,medium,F,1,3.7,1,Medium
1286,F,Ship,5,2,196,3,low,M,38,2.2,1,Medium
1287,A,Ship,2,2,192,2,low,F,8,3.1,1,Medium
1288,B,Ship,4,1,191,3,low,M,4,2.7,1,Medium
1289,C,Ship,3,4,222,3,medium,M,57,2.7,1,Medium
1290,F,Ship,3,3,141,3,medium,M,10,1.8,1,Light
1291,D,Ship,4,3,242,3,low,M,1,2.8,1,Medium
1292,F,Ship,3,4,212,2,high,M,13,2.7,1,Medium
1293,A,Ship,5,5,133,3,medium,F,21,1.6,1,Light
1294,B,Ship,5,5,254,5,low,F,35,2.5,1,Medium
1295,C,Ship,4,3,190,3,medium,F,2,2.1,1,Medium
1296,F,Ship,5,3,185,3,low,M,25,2.5,1,Medium
1297,D,Ship,3,5,191,3,medium,M,54,3.9,1,Medium
1298,F,Ship,4,4,158,2,medium,M,15,1,1,Light
1299,A,Ship,3,5,171,3,low,F,49,1.3,1,Light
1300,B,Ship,3,4,160,2,medium,M,32,1.1,1,Light
1301,C,Ship,4,2,235,3,low,F,21,3.1,1,Medium
1302,F,Ship,4,4,247,3,low,M,55,2.4,1,Medium
1303,D,Ship,4,1,152,3,medium,F,65,1.7,1,Light
1304,F,Ship,4,3,138,3,medium,M,15,1.1,1,Light
1305,A,Ship,5,4,270,2,high,F,43,3,1,Medium
1306,B,Ship,6,1,193,4,medium,M,8,3,1,Medium
1307,C,Ship,4,3,252,2,medium,M,1,2.3,1,Medium
1308,F,Ship,3,1,203,2,medium,F,51,4,1,Heavy
1309,D,Ship,5,4,141,3,medium,M,64,1.7,1,Light
1310,F,Ship,4,3,197,3,low,F,20,3.6,1,Medium
1311,A,Ship,6,2,142,3,low,F,54,1.3,1,Light
1312,B,Ship,3,4,161,3,low,F,25,1,1,Light
1313,C,Ship,2,2,139,3,medium,F,23,1.3,1,Light
1314,F,Ship,2,5,186,2,low,M,17,3.9,1,Medium
1315,D,Ship,5,3,190,3,low,M,52,2.6,1,Medium
1316,F,Ship,5,3,186,4,low,M,23,4,1,Heavy
1317,A,Ship,3,2,181,3,low,F,29,2.2,1,Medium
1318,B,Ship,4,4,111,6,low,M,8,1.1,1,Light
1319,C,Ship,2,3,159,3,medium,M,62,1.1,1,Light
1320,F,Ship,4,3,205,3,medium,F,44,2.3,1,Medium
1321,D,Ship,5,1,134,3,high,F,12,1.8,1,Light
1322,F,Ship,3,1,191,3,low,F,4,3.9,1,Medium
1323,A,Ship,2,3,141,2,medium,F,28,1.6,1,Light
1324,B,Ship,5,1,225,2,medium,M,31,3.5,1,Medium
1325,C,Ship,3,5,171,3,medium,F,24,1.3,1,Light
1326,F,Ship,4,3,286,5,low,M,37,2.9,1,Medium
1327,D,Ship,3,1,255,5,low,F,1,2.7,1,Medium
1328,F,Ship,4,5,113,6,medium,M,25,1.5,1,Light
1329,A,Ship,5,1,201,3,medium,F,65,2.5,1,Medium
1330,B,Ship,3,1,184,3,medium,F,49,2.8,1,Medium
1331,C,Ship,3,1,199,2,medium,F,18,3.3,1,Medium
1332,F,Ship,4,4,255,2,medium,M,29,2.3,1,Medium
1333,D,Ship,4,5,269,4,medium,M,60,3.5,1,Medium
1334,F,Ship,5,5,260,2,low,F,23,3.1,1,Medium
1335,A,Ship,3,1,198,4,medium,F,44,2.8,1,Medium
1336,B,Ship,4,2,256,2,medium,M,10,3.1,1,Medium
1337,C,Ship,3,1,140,4,low,M,27,1.2,1,Light
1338,F,Ship,3,4,165,4,medium,F,7,1.6,1,Light
1339,D,Ship,3,3,144,3,low,M,1,1.3,1,Light
1340,F,Ship,2,2,240,3,low,M,53,3,1,Medium
1341,A,Ship,4,2,183,4,low,M,15,3.6,1,Medium
1342,B,Ship,5,3,201,2,low,M,4,3.8,1,Medium
1343,C,Ship,4,4,216,2,medium,F,6,3.3,1,Medium
1344,F,Road,4,5,218,3,low,M,25,2.7,1,Medium
1345,D,Road,3,4,147,3,low,F,2,1.3,1,Light
1346,F,Road,3,5,264,2,medium,F,1,3.9,1,Medium
1347,A,Road,4,4,145,3,low,F,43,1.7,1,Light
1348,B,Road,3,5,264,6,low,M,30,2.8,1,Medium
1349,C,Road,4,5,253,2,medium,F,43,2.6,1,Medium
1350,F,Road,2,4,257,6,low,M,5,4,1,Heavy
1351,D,Road,4,1,202,3,high,M,59,2.6,1,Medium
1352,F,Road,5,5,245,4,medium,F,12,2.2,1,Medium
1353,A,Road,4,1,162,2,low,F,47,1.5,1,Light
1354,B,Road,3,2,158,3,medium,F,39,1.5,1,Light
1355,C,Road,3,1,182,3,medium,F,40,3.5,1,Medium
1356,F,Road,3,4,218,3,medium,F,4,3.5,1,Medium
1357,D,Road,4,5,201,3,medium,M,41,3.6,1,Medium
1358,F,Road,5,1,184,4,medium,F,38,2.2,1,Medium
1359,A,Road,4,1,241,3,medium,F,61,3.8,1,Medium
1360,B,Road,5,5,263,2,medium,M,59,3.2,1,Medium
1361,C,Road,5,5,230,2,medium,F,36,3.4,1,Medium
1362,F,Road,3,4,240,3,low,F,28,2.4,1,Medium
1363,D,Road,4,5,233,3,medium,F,43,3.9,1,Medium
1364,F,Road,4,3,237,2,medium,M,22,2.9,1,Medium
1365,A,Road,5,4,144,3,low,F,59,1.2,1,Light
1366,B,Flight,3,1,167,3,low,M,1,1.3,1,Light
1367,C,Flight,4,5,138,3,low,F,64,1.7,1,Light
1368,F,Flight,5,3,165,2,medium,M,51,1.4,1,Light
1369,D,Flight,4,3,247,4,low,F,19,3.8,1,Medium
1370,F,Flight,3,2,152,6,low,F,7,1.7,1,Light
1371,A,Flight,5,3,199,4,low,F,24,3.5,1,Medium
1372,B,Flight,5,4,268,3,medium,M,6,2.2,1,Medium
1373,C,Flight,4,5,150,2,low,F,30,1.8,1,Light
1374,F,Flight,5,5,190,4,medium,F,47,3.6,1,Medium
1375,D,Flight,4,3,153,4,low,M,36,1.2,1,Light
1376,F,Flight,4,2,185,3,low,M,27,3.4,1,Medium
1377,A,Flight,5,1,274,3,medium,M,58,2.1,1,Medium
1378,B,Flight,4,3,258,2,high,M,11,2.3,1,Medium
1379,C,Flight,3,1,110,3,low,F,54,1.2,1,Light
1380,F,Flight,3,5,240,6,low,M,21,3.6,1,Medium
1381,D,Flight,6,5,118,2,low,F,6,1.7,1,Light
1382,F,Flight,3,2,243,2,low,F,38,3.9,1,Medium
1383,A,Flight,6,2,225,6,low,M,44,2.1,1,Medium
1384,B,Flight,3,2,238,4,medium,F,49,3.2,1,Medium
1385,C,Flight,4,4,127,5,low,F,16,2,1,Medium
1386,F,Flight,3,5,166,2,low,M,45,1.7,1,Light
1387,D,Flight,3,1,180,3,low,F,29,1.4,1,Light
1388,F,Ship,4,4,161,2,medium,M,59,1.9,1,Light
1389,A,Ship,5,1,230,3,low,F,43,3,1,Medium
1390,B,Ship,5,3,167,3,low,F,51,1.6,1,Light
1391,C,Ship,4,5,186,3,low,F,16,2.7,1,Medium
1392,F,Ship,4,4,150,3,high,M,9,1.6,1,Light
1393,D,Ship,4,1,253,7,medium,M,37,3,1,Medium
1394,F,Ship,5,2,239,2,medium,F,59,2.9,1,Medium
1395,A,Ship,6,2,294,4,low,M,57,1.3,1,Light
1396,B,Ship,4,2,158,4,low,F,45,1.8,1,Light
1397,C,Ship,6,3,135,5,low,F,20,1.3,1,Light
1398,F,Ship,4,2,238,3,low,F,28,1,1,Light
1399,D,Ship,6,3,213,3,low,M,17,1.7,1,Light
1400,F,Ship,5,2,165,2,medium,F,18,1.9,1,Light
1401,A,Ship,4,3,247,4,low,M,16,2.4,1,Medium
1402,B,Ship,3,5,152,6,low,F,32,1.2,1,Light
1403,C,Ship,5,4,199,4,low,M,24,3.4,1,Medium
1404,F,Ship,5,2,268,3,medium,F,41,3.7,1,Medium
1405,D,Ship,4,3,150,2,low,M,51,1.5,1,Light
1406,F,Ship,5,1,190,4,medium,M,24,3.4,1,Medium
1407,A,Ship,4,1,153,4,low,M,7,1.1,1,Light
1408,B,Ship,4,4,185,3,low,M,13,2.1,1,Medium
1409,C,Ship,5,3,274,3,medium,F,54,2.9,1,Medium
1410,F,Ship,4,5,258,2,high,M,5,3.5,1,Medium
1411,D,Ship,3,4,110,3,low,F,55,1.3,1,Light
1412,F,Ship,3,2,240,6,low,F,26,2.7,1,Medium
1413,A,Ship,6,2,118,2,low,F,2,1.7,1,Light
1414,B,Ship,3,4,243,2,low,F,14,3.7,1,Medium
1415,C,Ship,6,5,225,6,low,F,55,2.1,1,Medium
1416,F,Ship,3,3,238,4,medium,M,57,3.5,1,Medium
1417,D,Ship,4,3,127,5,low,F,5,1.2,1,Light
1418,F,Ship,3,3,166,2,low,F,45,1.8,1,Light
1419,A,Ship,3,5,180,3,low,M,6,1.2,1,Light
1420,B,Ship,4,5,161,2,medium,M,55,1.5,1,Light
1421,C,Ship,5,4,230,3,low,F,39,4,1,Heavy
1422,F,Ship,5,5,167,3,low,F,53,1.6,1,Light
1423,D,Ship,4,3,186,3,low,F,25,3.9,1,Medium
1424,F,Ship,4,2,150,3,high,F,32,1.7,1,Light
1425,A,Ship,4,5,253,7,medium,F,11,3.8,1,Medium
1426,B,Ship,5,2,239,2,medium,F,15,2.5,1,Medium
1427,C,Ship,6,3,294,4,low,M,52,1.7,1,Light
1428,F,Ship,4,5,158,4,low,F,4,1.6,1,Light
1429,D,Ship,6,2,135,5,low,M,26,1.6,1,Light
1430,F,Ship,4,5,238,3,low,M,9,1.7,1,Light
1431,A,Ship,6,2,265,3,low,M,3,1.9,1,Light
1432,B,Ship,5,5,180,5,medium,M,35,1.7,1,Light
1433,C,Ship,7,2,229,3,low,F,43,1.8,1,Light
1434,F,Ship,3,2,176,3,low,M,51,1.3,1,Light
1435,D,Ship,3,5,172,2,medium,M,60,1.8,1,Light
1436,F,Ship,6,5,100,4,medium,F,3,1.4,1,Light
1437,A,Ship,4,3,142,6,low,M,6,1.5,1,Light
1438,B,Ship,4,3,153,3,medium,M,2,1.1,1,Light
1439,C,Ship,3,4,160,4,low,F,56,1.4,1,Light
1440,F,Ship,4,3,217,3,medium,F,16,3.4,1,Medium
1441,D,Ship,3,2,273,3,low,M,41,3.5,1,Medium
1442,F,Ship,3,4,133,3,low,M,17,1.2,1,Light
1443,A,Ship,3,4,155,4,low,M,54,1.9,1,Light
1444,B,Ship,5,3,184,4,medium,F,2,3.8,1,Medium
1445,C,Ship,5,5,230,3,medium,M,43,3.6,1,Medium
1446,F,Ship,3,4,254,3,high,M,53,3.5,1,Medium
1447,D,Ship,4,5,108,6,medium,M,46,1.9,1,Light
1448,F,Ship,4,4,154,3,low,M,52,1.4,1,Light
1449,A,Ship,5,3,177,3,low,F,1,1.9,1,Light
1450,B,Ship,3,3,162,2,medium,M,65,1.2,1,Light
1451,C,Ship,3,4,285,6,low,F,27,2.2,1,Medium
1452,F,Ship,3,2,257,3,low,F,6,3.6,1,Medium
1453,D,Ship,4,5,143,3,low,F,48,1.9,1,Light
1454,F,Ship,6,3,223,6,medium,M,29,3,1,Medium
1455,A,Ship,3,5,230,2,low,M,27,3.8,1,Medium
1456,B,Ship,4,5,241,4,medium,M,58,2.9,1,Medium
1457,C,Ship,3,5,156,3,medium,M,44,1.4,1,Light
1458,F,Ship,4,4,232,4,low,M,27,3.4,1,Medium
1459,D,Ship,3,2,231,3,low,M,55,4,1,Heavy
1460,F,Ship,3,4,183,2,medium,F,52,2.1,1,Medium
1461,A,Ship,4,1,240,3,low,M,50,2.4,1,Medium
1462,B,Ship,4,4,218,2,medium,M,27,2.8,1,Medium
1463,C,Ship,5,1,248,3,low,M,37,3.8,1,Medium
1464,F,Ship,4,3,170,2,medium,F,33,2,1,Medium
1465,D,Ship,3,2,226,3,low,M,11,3.7,1,Medium
1466,F,Ship,4,3,232,3,low,M,11,2.6,1,Medium
1467,A,Ship,4,1,192,3,low,F,15,3.5,1,Medium
1468,B,Ship,3,5,250,4,low,F,11,3.5,1,Medium
1469,C,Ship,5,5,224,3,medium,F,48,2.3,1,Medium
1470,F,Ship,3,3,167,3,medium,F,42,1.4,1,Light
1471,D,Ship,2,3,123,2,medium,M,11,1.4,1,Light
1472,F,Ship,5,2,243,2,medium,F,4,3.7,1,Medium
1473,A,Ship,4,3,233,2,low,F,45,2.7,1,Medium
1474,B,Ship,3,3,201,2,high,M,36,3.3,1,Medium
1475,C,Ship,3,1,230,2,medium,F,18,2.8,1,Medium
1476,F,Ship,4,3,271,3,low,M,59,3,1,Medium
1477,D,Ship,4,1,159,3,medium,M,13,1.4,1,Light
1478,F,Ship,3,3,249,3,low,M,55,3.4,1,Medium
1479,A,Ship,3,4,137,3,medium,F,17,1.2,1,Light
1480,B,Ship,3,5,225,3,medium,M,8,3.8,1,Medium
1481,C,Road,4,1,226,3,low,F,28,2.2,1,Medium
1482,F,Road,4,4,174,3,low,M,49,1.1,1,Light
1483,D,Road,5,2,264,5,low,F,27,3.1,1,Medium
1484,F,Road,4,4,151,3,medium,F,6,1.9,1,Light
1485,A,Road,3,1,180,2,low,F,65,1.3,1,Light
1486,B,Road,3,4,149,2,medium,F,37,1.1,1,Light
1487,C,Road,3,1,209,3,low,F,20,3.2,1,Medium
1488,F,Road,6,1,219,6,low,F,10,2.4,1,Medium
1489,D,Road,4,3,164,3,low,M,28,1.9,1,Light
1490,F,Road,3,1,268,3,medium,M,3,3,1,Medium
1491,A,Road,4,4,204,4,medium,F,35,2.5,1,Medium
1492,B,Road,5,5,226,3,medium,M,23,2.6,1,Medium
1493,C,Road,5,1,105,5,low,M,1,1.1,1,Light
1494,F,Road,4,5,153,3,low,M,10,1.2,1,Light
1495,D,Road,3,5,192,2,medium,F,5,2.3,1,Medium
1496,F,Road,4,3,199,2,low,F,28,2.6,1,Medium
1497,A,Road,5,2,156,4,medium,M,39,1.2,1,Light
1498,B,Road,3,2,180,2,low,M,53,1.9,1,Light
1499,C,Road,4,5,162,2,medium,M,62,1.7,1,Light
1500,F,Road,5,5,284,6,low,M,9,3.9,1,Medium
1501,D,Road,4,1,271,2,high,M,33,3.3,1,Medium
1502,F,Road,3,1,269,2,medium,M,38,2.2,1,Medium
1503,A,Flight,3,4,135,3,low,M,11,1.7,1,Light
1504,B,Flight,5,2,200,2,low,F,2,2.1,1,Medium
1505,C,Flight,5,2,206,6,medium,M,23,2,1,Medium
1506,F,Flight,4,2,229,4,low,F,32,3.5,1,Medium
1507,D,Flight,5,3,267,3,low,M,48,3.4,1,Medium
1508,F,Flight,4,1,135,2,medium,F,64,1.5,1,Light
1509,A,Flight,4,5,259,2,medium,M,15,2.4,1,Medium
1510,B,Flight,3,3,223,2,medium,M,30,3.6,1,Medium
1511,C,Flight,3,4,245,4,low,M,20,2.5,1,Medium
1512,F,Flight,4,4,207,3,low,M,20,2.6,1,Medium
1513,D,Flight,5,3,171,3,medium,M,62,1.3,1,Light
1514,F,Flight,3,5,130,5,low,F,27,1.9,1,Light
1515,A,Flight,3,2,241,3,medium,F,60,3.9,1,Medium
1516,B,Flight,4,4,261,3,low,F,33,3.7,1,Medium
1517,C,Flight,3,5,182,3,medium,M,34,3.6,1,Medium
1518,F,Flight,3,2,270,4,high,M,29,3.8,1,Medium
1519,D,Flight,3,5,157,4,medium,M,26,2,1,Medium
1520,F,Flight,3,3,172,4,low,F,33,2,1,Medium
1521,A,Flight,3,3,205,2,medium,F,2,2.9,1,Medium
1522,B,Flight,4,5,268,3,medium,M,7,3.6,1,Medium
1523,C,Flight,3,1,156,3,medium,F,1,1.5,1,Light
1524,F,Flight,3,5,202,2,low,F,4,3.4,1,Medium
1525,D,Ship,3,1,249,3,low,F,43,3.3,1,Medium
1526,F,Ship,3,2,141,3,medium,F,41,1.8,1,Light
1527,A,Ship,3,1,230,2,medium,M,28,3.6,1,Medium
1528,B,Ship,5,5,229,2,medium,F,59,3.8,1,Medium
1529,C,Ship,4,5,146,4,low,F,25,1.6,1,Light
1530,F,Ship,3,3,162,2,low,F,26,1.7,1,Light
1531,D,Ship,5,2,241,3,low,M,39,3.7,1,Medium
1532,F,Ship,3,4,271,2,low,M,14,2.2,1,Medium
1533,A,Ship,3,5,166,3,high,F,31,1.1,1,Light
1534,B,Ship,3,1,171,3,medium,M,28,1.1,1,Light
1535,C,Ship,3,5,169,2,low,F,20,1,1,Light
1536,F,Ship,3,1,137,3,low,M,47,1.6,1,Light
1537,D,Ship,3,4,211,3,low,M,56,3.7,1,Medium
1538,F,Ship,4,5,171,3,medium,F,2,1.1,1,Light
1539,A,Ship,4,4,142,4,medium,M,2,1.5,1,Light
1540,B,Ship,3,2,184,4,medium,F,10,3,1,Medium
1541,C,Ship,6,5,111,6,high,F,28,1.2,1,Light
1542,F,Ship,2,5,278,4,low,M,34,3.4,1,Medium
1543,D,Ship,3,5,160,2,medium,F,41,1.5,1,Light
1544,F,Ship,3,4,212,2,medium,F,56,4,1,Heavy
1545,A,Ship,3,5,175,2,low,M,59,1.1,1,Light
1546,B,Ship,4,3,251,3,medium,F,46,2.6,1,Medium
1547,C,Ship,3,3,205,2,low,F,15,3.2,1,Medium
1548,F,Ship,5,5,163,3,low,M,54,1.5,1,Light
1549,D,Ship,4,1,272,2,low,M,27,2,1,Medium
1550,F,Ship,4,1,134,3,medium,F,37,1.8,1,Light
1551,A,Ship,5,5,259,2,medium,M,63,2.6,1,Medium
1552,B,Ship,3,3,246,3,medium,F,45,3.9,1,Medium
1553,C,Ship,4,1,211,2,medium,F,44,3.1,1,Medium
1554,F,Ship,4,2,190,2,medium,F,6,3.6,1,Medium
1555,D,Ship,4,5,233,5,medium,F,44,2.6,1,Medium
1556,F,Ship,5,4,199,2,high,F,20,2.6,1,Medium
1557,A,Ship,5,2,191,3,high,F,52,2,1,Medium
1558,B,Ship,4,1,148,3,low,M,30,1.7,1,Light
1559,C,Ship,2,5,177,6,medium,F,41,1.8,1,Light
1560,F,Ship,3,1,171,2,low,M,1,1.6,1,Light
1561,D,Ship,3,3,237,3,medium,M,57,3.8,1,Medium
1562,F,Ship,4,4,265,3,medium,F,47,3.3,1,Medium
1563,A,Ship,4,2,136,2,medium,M,19,1.4,1,Light
1564,B,Ship,3,1,145,2,high,M,25,1.9,1,Light
1565,C,Ship,4,1,238,2,low,F,3,2.2,1,Medium
1566,F,Ship,4,4,210,3,medium,F,14,3.7,1,Medium
1567,D,Ship,5,1,159,4,low,M,38,1.3,1,Light
1568,F,Ship,4,1,232,2,medium,F,26,3.3,1,Medium
1569,A,Ship,3,2,174,3,low,M,4,1.3,1,Light
1570,B,Ship,5,1,129,5,medium,M,35,1.5,1,Light
1571,C,Ship,3,3,201,4,medium,M,7,2.3,1,Medium
1572,F,Ship,5,2,151,4,low,M,12,1.1,1,Light
1573,D,Ship,2,1,252,3,low,F,12,2.8,1,Medium
1574,F,Ship,5,3,156,3,medium,M,58,1.2,1,Light
1575,A,Ship,6,3,215,5,low,M,13,3.9,1,Medium
1576,B,Ship,4,4,153,3,low,M,13,1.4,1,Light
1577,C,Ship,5,1,261,3,low,M,25,3.5,1,Medium
1578,F,Ship,5,4,263,3,medium,M,61,2.6,1,Medium
1579,D,Ship,5,4,153,6,medium,M,35,1.1,1,Light
1580,F,Ship,3,5,137,3,high,F,28,1.8,1,Light
1581,A,Ship,3,5,270,5,low,M,31,3.7,1,Medium
1582,B,Ship,5,1,167,2,low,M,62,1.9,1,Light
1583,C,Ship,3,3,143,3,low,M,64,1.6,1,Light
1584,F,Ship,5,5,214,3,low,F,31,2,1,Medium
1585,D,Ship,2,2,182,2,medium,F,14,3.8,1,Medium
1586,F,Ship,3,5,234,2,high,M,4,2.7,1,Medium
1587,A,Ship,4,5,181,2,medium,M,59,2.2,1,Medium
1588,B,Ship,2,4,162,3,low,F,34,1.6,1,Light
1589,C,Ship,5,4,185,4,medium,M,31,3.6,1,Medium
1590,F,Ship,4,2,199,2,medium,F,4,3.4,1,Medium
1591,D,Ship,4,1,272,3,medium,M,49,2.8,1,Medium
1592,F,Ship,5,3,252,2,low,M,11,3,1,Medium
1593,A,Ship,4,5,156,3,low,F,2,1.1,1,Light
1594,B,Ship,4,2,173,3,medium,F,63,1.2,1,Light
1595,C,Ship,3,2,148,4,medium,F,38,1.3,1,Light
1596,F,Ship,4,3,158,3,medium,F,27,1.2,1,Light
1597,D,Ship,5,2,261,3,low,M,62,3.4,1,Medium
1598,F,Ship,2,4,105,2,medium,M,54,1.7,1,Light
1599,A,Ship,3,5,193,3,high,F,57,3.4,1,Medium
1600,B,Ship,3,3,198,3,low,M,49,2.4,1,Medium
1601,C,Ship,4,5,213,3,medium,F,42,3.1,1,Medium
1602,F,Ship,4,1,244,3,low,M,59,3.1,1,Medium
1603,D,Ship,6,4,241,6,high,F,61,2.8,1,Medium
1604,F,Ship,4,5,278,6,low,M,4,3.9,1,Medium
1605,A,Ship,2,2,145,2,low,M,1,1.1,1,Light
1606,B,Ship,5,2,140,4,high,M,58,1.2,1,Light
1607,C,Ship,4,4,209,3,medium,M,37,3,1,Medium
1608,F,Ship,3,3,233,3,medium,M,35,2.2,1,Medium
1609,D,Ship,3,1,227,3,medium,M,52,3.3,1,Medium
1610,F,Ship,5,1,258,2,medium,F,22,3.7,1,Medium
1611,A,Ship,5,4,259,3,low,F,38,3.7,1,Medium
1612,B,Ship,3,5,153,2,low,F,44,1.6,1,Light
1613,C,Ship,3,5,181,3,medium,M,22,3.6,1,Medium
1614,F,Ship,4,4,143,8,medium,F,39,1.3,1,Light
1615,D,Ship,5,2,111,5,medium,M,3,1.7,1,Light
1616,F,Ship,4,5,198,2,medium,M,51,2.8,1,Medium
1617,A,Ship,3,4,121,3,low,F,63,1.6,1,Light
1618,B,Road,3,2,204,3,medium,M,48,2.8,1,Medium
1619,C,Road,4,4,203,5,low,M,36,3.9,1,Medium
1620,F,Road,4,1,167,3,low,F,10,1.6,1,Light
1621,D,Road,4,1,270,3,medium,F,64,2.4,1,Medium
1622,F,Road,5,2,260,2,high,M,58,2,1,Medium
1623,A,Road,3,1,180,3,high,F,21,1,1,Light
1624,B,Road,3,4,157,2,medium,M,12,1.7,1,Light
1625,C,Road,3,3,156,6,low,M,45,1.6,1,Light
1626,F,Road,4,4,236,7,medium,M,62,2.3,1,Medium
1627,D,Road,5,2,240,7,medium,F,57,2.7,1,Medium
1628,F,Road,4,2,104,7,medium,F,46,1.4,1,Light
1629,A,Road,4,2,140,3,medium,F,49,1.8,1,Light
1630,B,Road,3,2,150,3,medium,M,29,1.4,1,Light
1631,C,Road,6,2,286,7,medium,F,65,3.4,1,Medium
1632,F,Road,5,5,224,8,low,F,49,3.3,1,Medium
1633,D,Road,3,4,204,3,low,F,49,3.2,1,Medium
1634,F,Road,5,2,266,7,low,F,12,2.1,1,Medium
1635,A,Road,6,3,241,6,high,F,8,3.9,1,Medium
1636,B,Road,4,2,278,6,low,F,36,2.3,1,Medium
1637,C,Road,2,1,145,2,low,F,49,1.2,1,Light
1638,F,Road,5,4,140,4,high,F,5,1.1,1,Light
1639,D,Road,4,4,209,3,medium,F,52,2.7,1,Medium
1640,F,Flight,3,1,233,3,medium,M,1,2.7,1,Medium
1641,A,Flight,3,2,227,3,medium,M,21,2.4,1,Medium
1642,B,Flight,5,4,258,2,medium,F,24,2.9,1,Medium
1643,C,Flight,5,3,259,3,low,F,45,3.3,1,Medium
1644,F,Flight,3,3,153,2,low,F,39,1.3,1,Light
1645,D,Flight,3,2,181,3,medium,M,45,3.8,1,Medium
1646,F,Flight,4,4,143,8,medium,M,12,1.3,1,Light
1647,A,Flight,5,4,111,5,medium,F,42,1.6,1,Light
1648,B,Flight,4,4,198,2,medium,M,64,3.8,1,Medium
1649,C,Flight,3,5,121,3,low,F,10,1.7,1,Light
1650,F,Flight,3,4,204,3,medium,F,27,2.8,1,Medium
1651,D,Flight,4,2,203,5,low,F,20,3.1,1,Medium
1652,F,Flight,4,1,167,3,low,F,57,1.8,1,Light
1653,A,Flight,4,5,270,3,medium,M,20,3.2,1,Medium
1654,B,Flight,5,3,260,2,high,F,63,2.7,1,Medium
1655,C,Flight,3,3,180,3,high,F,56,1.7,1,Light
1656,F,Flight,3,3,157,2,medium,F,62,1.4,1,Light
1657,D,Flight,3,5,156,6,low,M,65,1.3,1,Light
1658,F,Flight,4,5,236,7,medium,F,44,3.8,1,Medium
1659,A,Flight,5,2,240,7,medium,F,47,2.2,1,Medium
1660,B,Flight,4,1,104,7,medium,F,52,1.1,1,Light
1661,C,Flight,4,4,140,3,medium,F,4,1.5,1,Light
1662,F,Ship,3,2,150,3,medium,F,4,1.9,1,Light
1663,D,Ship,6,1,286,7,medium,F,7,2.3,1,Medium
